HD 98280         11 18 21.0540  11 59 03.5910 2000 pa=0.00 lgs=0
N6DS000065       11 18 21.0540  11 59 03.5910 2015 rmag=6.89 vmag=6.66 b-r=0.00 b-v=0.00 I=99.90 sep=0.01 vistt=0 irtt=0 target=HD 98280
